es_tp,n,dist_frame_ant_mean,dist_memoria_mean,persistencia_mean,persistencia_mediana,pct_persist_1,pct_vuelve_atras,coherencia_mean,prob_fisica_mean,velocidad_mean
False,140,1.0276435714285714,0.8443415993426265,33.9,3.0,0.4357142857142857,0.6857142857142857,0.4444030768234528,0.6896757142857144,36.03514287812369
True,1,1.0054,0.9556069988187414,1.0,1.0,1.0,0.0,0.5470852575664122,1.0,16.0
