trip_id,frame_idx,es_tp,dist_vs_frame_anterior,dist_vs_memoria_conductor_vigente,prob_fisica,velocidad,empty_cabin,persistencia_nueva_identidad,vuelve_al_conductor_anterior_10f,coherencia_candidatos_nuevos
1791321775188320,80,True,1.0054,0.9556069988187414,1.0,16.0,False,1,False,0.5470852575664122
712571776934598,34,False,1.0077,0.9812108088508361,0.6938,9.779999732971191,False,1,True,
1661531776317546,67,False,1.0271,0.40816928289721854,0.9988,9.0,False,134,True,0.683885179025444
1264341775399858,94,False,1.0238,0.9793164013020985,0.7058,36.0,False,1,True,
717151776919573,288,False,1.0002,0.9155201518052044,0.7228,8.0,False,1,True,
1243861775525324,205,False,1.024,1.0239901277727639,1.0,26.0,False,7,False,0.4714117387007322
1866731775062832,53,False,1.0207,1.0141149815807526,0.1267,77.0,False,31,False,0.4085496145810377
717021775054869,71,False,1.0114,0.9605391831493065,0.3,59.0,False,1,True,
711141775096868,24,False,1.005,0.9788777807012619,0.5927,42.0,False,1,True,
1790311775053899,123,False,1.076,0.8266993251835739,0.5724,30.0,False,1,True,
716671775240518,43,False,1.0047,0.9454963720135234,0.3646,51.0,False,1,True,
1866541775071553,139,False,1.011,0.8924306345286305,0.6545,13.0,False,1,False,
716761775049801,7,False,1.0073,0.9902594536041794,0.7868,22.0,False,1,True,
1480121775491525,28,False,1.0019,0.9581564715820978,0.7821,25.0,False,1,True,
1866471775409751,20,False,1.0089,0.8388836600003162,0.9987,13.0,False,1,True,
1808771775153637,59,False,1.0254,0.9850163445270911,0.2201,60.02000045776367,False,1,True,
1790541775095373,3,False,1.0293,1.0292778727617784,0.7868,22.0,False,9,True,0.3123908561185845
1250351776493066,5,False,1.0408,1.0326160763707675,1.0,52.0,False,373,False,0.7001643855336955
1867461775421243,73,False,1.0042,0.8958180988874133,0.6386,37.0,False,2,True,0.21379589718210978
717151776919573,210,False,1.0002,0.14527523220962968,0.6639,13.0,False,78,True,0.3879950562377011
1790381776709438,42,False,1.0372,0.6869493889028759,0.6822,10.0,False,243,True,0.6104678658912425
1790381775115128,87,False,1.0111,0.6479650606339983,0.7111,23.540000915527344,False,48,True,0.8167261275367855
1866611775060331,1,False,1.0455,1.045492031075055,0.7144,32.0,False,41,False,0.4858200876907525
716151775604826,94,False,1.0149,1.0001079082678812,0.1378,75.0,False,1,True,
1821231776553871,83,False,1.0518,1.0517981760738038,1.0,7.0,False,1,True,
1278961775094027,10,False,1.0433,0.9303094872785274,0.77,23.0,False,1,True,
1593491776417636,50,False,1.0217,0.10152699182918135,0.8277,22.0,False,51,True,0.2834506244617601
1808801775184559,46,False,1.0145,1.0144920163903681,0.3614,46.0,False,1,True,0.3107941376676514
1790511776560356,41,False,1.0159,0.286569145077612,1.0,40.0,False,70,True,0.2932132521235376
1593491775098280,72,False,1.0253,0.9335678194791847,1.0,56.0,False,1,True,
1593491776417636,114,False,1.0403,0.32427964965600264,1.0,37.0,False,1,True,0.5219119444667635
1866501776290564,13,False,1.012,0.6070376788736174,0.8113,24.0,False,264,True,0.4634426361711568
715861775157695,41,False,1.0297,1.0296908800863178,0.72,35.0,False,2,False,0.5630486079944297
1808471775593206,26,False,1.0845,1.034624388900535,0.5994,43.0,False,5,True,0.4391278629641772
1649011775077517,93,False,1.04,0.9846576517938989,1.0,52.0,False,1,True,
1866921776353433,83,False,1.0176,0.5163188867059314,0.9996,14.0,False,1,True,0.7737546960910406
1790391776108220,59,False,1.0899,1.0522909777407587,0.8751,8.460000038146973,False,1,True,
1480121776350966,57,False,1.0142,1.0141917585714086,1.0,20.0,False,243,False,0.2234804157572713
1243861776478564,13,False,1.0259,0.9156237504119246,0.7523,22.0,False,149,False,0.7863347944196458
1804591775055111,14,False,1.0222,0.9743594895690841,1.0,64.0,False,1,True,
1661491776381494,74,False,1.0047,0.876486744752185,0.9984,17.209999084472656,False,1,True,
1582231775575988,27,False,1.0059,1.0095992649845869,0.4006,51.0,False,1,True,
1821171775078308,37,False,1.0391,0.9533850085100651,0.28,58.0,False,57,False,0.33273740139284574
717021775054869,86,False,1.0521,0.9495915415272758,0.4208,54.0,False,8,False,0.25566782733049825
1479961775164998,27,False,1.0061,0.7095965633346253,0.4688,40.0,False,1,True,
1278961775037478,24,False,1.0619,1.061771521222794,0.8316,18.0,False,86,False,0.26710949938353296
1507111775235100,4,False,1.0224,1.0223971852100397,0.1626,69.0,False,53,False,0.13434634480584018
717021775054869,52,False,1.0677,0.9792556751650462,0.7891,28.0,False,3,True,0.2844401771598181
1648921775061112,81,False,1.029,0.978775848958423,0.8638,12.0,False,1,True,
1790311775053899,150,False,1.0174,1.0228334112054882,0.1763,65.0,False,49,False,0.38846028367728863
1866541775071553,47,False,1.0301,0.883371057869455,0.1723,64.0,False,1,True,
1791681776289076,7,False,1.048,0.927281385012413,1.0,68.0,False,1,True,
1867421775069568,69,False,1.0039,0.9322104253984909,0.1743,76.0,False,1,True,
1866621776423250,149,False,1.0883,0.9413333887826977,0.394,60.0,False,103,False,0.1671627026305372
1264091775113066,70,False,1.0092,1.0092344404741642,0.7868,19.0,False,7,False,0.21093638460792186
1592541775299388,82,False,1.0207,0.894697778515034,0.7549,23.0,False,1,True,
1256191776519659,31,False,1.0325,0.989221237172531,1.0,71.0,False,1,True,
716561775458958,57,False,1.0335,0.7789220761434179,1.0,13.0,False,1,True,
1867461776487856,267,False,1.0174,0.19343439452977018,0.9987,11.720000267028809,False,2,True,0.6547561806332131
1833821775007413,82,False,1.0093,1.0093288798509434,0.4481,55.0,False,4,True,0.18734937236765045
1264291775330721,10,False,1.0305,1.0287278522615693,0.6731,29.0,False,1,True,
717021775054869,72,False,1.0301,0.9905029116066514,0.1041,78.0,False,12,False,0.1917146354218232
1264291776430246,40,False,1.0867,1.0061094028982616,0.8196,20.0,False,56,False,0.8786687410274027
1582201775114208,38,False,1.1056,0.9837805497003104,0.1149,74.0,False,2,True,0.4386083710864773
1480121776414071,170,False,1.0023,0.41454061067632497,1.0,19.0,False,117,True,0.42355829145494056
716761775049801,45,False,1.016,0.9946405153775522,0.8257,22.0,False,1,True,
1264091775090606,111,False,1.0021,0.9673646555964872,1.0,16.0,False,1,True,
1791681775136380,130,False,1.0351,0.9363256464728513,0.9989,9.0,False,1,False,
1866681775287047,3,False,1.03,1.0299778602371523,0.5485,45.0,False,43,False,0.5340664085086865
1990551775415756,70,False,1.0272,1.008963443520109,0.3396,62.970001220703125,False,1,True,
1790311776312100,294,False,1.0101,0.6642801234414197,0.1589,71.0,False,8,True,0.7629379725768725
1790311775053899,200,False,1.0493,1.0417677756974295,0.6514,37.0,False,6,False,0.6382866184144823
1833701776322922,178,False,1.0226,0.9102710781736545,1.0,50.0,False,39,False,0.8066251421410078
1867331776398653,135,False,1.0315,0.23690511607607878,0.7338,7.0,False,120,True,0.2239339532958603
1867461775421243,29,False,1.0089,0.9438965708849116,0.8237,24.0,False,3,True,0.08349975459790034
1790381775157640,8,False,1.0133,0.6649087656533705,0.1395,72.0,False,118,True,0.7641360843604339
1790381775115128,43,False,1.0125,0.48800046626471405,1.0,29.0,False,92,True,0.733425177869818
1264291776430246,97,False,1.0096,1.0095936408451616,0.1738,65.0,False,1,True,
1593491775057473,7,False,1.0386,1.0386035123401167,0.8972,9.0,False,2,True,0.23592781840176646
1791321775188320,45,False,1.0137,1.0100621973286485,0.5491,39.95000076293945,False,1,True,
1790541775162843,110,False,1.031,0.9404595959349412,0.8393,8.0,False,1,True,
1648911775308093,61,False,1.0048,0.7933489006307615,0.8113,24.0,False,6,False,0.39758620566911373
1790311776312100,31,False,1.0024,0.7457650062372301,1.0,18.0,False,230,False,0.8185009433717899
1821231775089655,24,False,1.0158,0.8375657084105588,1.0,79.0,False,1,True,
1509271776365794,3,False,1.0106,0.3885702318109586,1.0,45.0,False,72,True,0.6917870786877393
1866731775097484,9,False,1.0254,0.972581341159433,0.7844,25.0,False,1,True,
1821171775078308,36,False,1.0146,0.9116276709567397,0.3678,52.0,False,1,True,
1618671775021611,55,False,1.0056,0.9518640834964771,0.5588,30.0,False,1,True,
712571776934598,35,False,1.0759,1.0758803423055276,0.6297,15.0,False,12,False,0.26366018355021226
1661531776393114,26,False,1.083,0.5013611976814464,0.9966,45.4900016784668,False,73,True,0.5833731818828367
1214451776412924,120,False,1.0459,0.22287705790768153,0.9991,8.0,False,2,True,0.268737149493565
717021775054869,51,False,1.0339,1.005913194440182,1.0,9.0,False,1,True,
1264341775399858,95,False,1.0403,0.932889913208243,1.0,12.0,False,30,False,0.17017412126245943
1866731775035702,50,False,1.0007,1.000701359612714,0.6126,30.0,False,61,False,0.30702158163435556
1790311775053899,149,False,1.0251,0.8020046460934533,0.1664,67.0,False,1,True,
1720931775239314,133,False,1.0136,1.0135529753323347,1.0,35.0,False,12,False,0.6117775226135352
1790541775095373,2,False,1.0364,1.0364449879368254,0.7283,34.0,False,1,False,
1821101775133165,54,False,1.0317,0.9010803677911736,1.0,16.0,False,1,True,0.488842214206623
1214361775471743,100,False,1.0018,0.22493375545127892,0.7567,28.0,False,19,True,0.2726476028667341
