trip_id,alert_frame
1214421783605260,2
1213831784605710,47
1213831784605710,48
1245881784068120,55
1214431783981130,163
1214431783981130,189
1214441784735840,21
1218891784269930,138
1065621784596590,105
1214441784340640,2
1218881783132360,41
1213961783038160,32
1213961783038160,33
1213981783232740,143
1213981783232740,296
1214411782938890,23
1214411782938890,84
1214441784570190,90
1214441784570190,131
1214431784143220,124
1245861784738170,75
1052561782897070,6
1250401784035760,60
1250401784035760,61
1214351784012230,21
1214351784012230,22
1214181782956490,1
1098641783894480,33
1052621784230400,77
1052621784230400,143
1065681783566850,16
1211381783441950,60
1211381783441950,70
1236111784299040,5
1062841784578650,29
1214311784241840,159
1211501784875710,89
1211311784346340,4
1066451784061670,33
1213951784827640,93
1214391784246060,92
1214421783794510,9
1213981783610220,28
1213981783610220,29
1214451784823660,3
1214451784823660,4
1214451784823660,65
1214451784823660,66
1052531784340340,44
1214421782987650,3
1214361784574850,197
1214361784574850,198
1250371783248780,213
1236151783205810,6
1211391784588210,29
1065681783983030,9
1065681783983030,10
1065641784882110,44
1211501784603590,22
1211311784709070,9
1214351783314390,13
1214351783314390,14
1214351783314390,135
1214351783314390,137
1214431784819670,3
1052531784682480,38
1211381784456180,85
1214061784153080,95
1211281784589360,177
1214451784756270,10
1214451784756270,11
1214451784756270,43
1214451784756270,44
1214411783609400,130
1218881783227490,208
1214371784744030,16
1214371784744030,131
1214371784744030,140
1214371784744030,244
1250371783101550,46
1214471784053870,194
1211321784814760,39
1250361784329390,5
1214431784236220,154
1214431784236220,193
1065641784300750,100
1065641784300750,101
1065621784919250,47
1250311784310000,22
1250311784310000,23
1250311784310000,48
1214351784668400,75
1214351784668400,77
1065911783154940,21
1214441784513800,3
1214441784513800,116
1214471784142110,1
1214471784142110,2
1214471784142110,16
1062851783169330,1
1065681784020290,29
1052671784564040,48
1052671784564040,49
1214231782929740,117
1214231782929740,118
1214331784652140,271
1052511784310130,11
1052511784310130,72
1052511784310130,73
1214211782997370,116
1065681784067470,22
1214221784855970,25
1211591784316340,18
1214431784058300,91
1214431784058300,176
1214431784058300,177
1214431784058300,197
1211281783637440,176
1211381783014850,70
1211401783557610,43
1065921783997930,13
1065921783997930,73
1062851784527340,171
1062841784679940,7
1236151783882250,24
1236111783013900,71
1211311784504890,33
1211401784354400,45
1066271783704220,43
1250401784073890,99
1214081783058090,23
1066131784857290,35
1250401784233680,19
1250401784233680,24
1214401784155860,35
1065681783627480,10
1065681783627480,11
1052511784351490,29
1052511784351490,30
1214391783362310,141
1214291783993100,12
1214291783993100,110
1214191783362320,47
1211381783318290,9
1211381783318290,28
1213981783152410,147
1066131783153440,25
1214081783979810,41
1214311782940460,67
1214291784167300,46
1214361784655760,69
1052511784642450,55
1052511784642450,56
1211321782904740,38
1211591784630190,77
1211591784630190,116
1214371784607680,6
1214371784607680,7
1214371784607680,114
1214371784607680,192
1214371784607680,236
1214371784607680,267
1214371784607680,326
1214371784607680,380
1214371784607680,381
1066131784792040,7
1066131784792040,8
1066131784792040,41
