trip_id,alert_frame
1211591784531990,37
1052681784565850,2
1066451784396920,76
1214471784190100,104
1214471784190100,116
1214441784340640,3
1214441784340640,78
1066271783581860,8
1214411782938890,29
1214291784061220,43
1065621784713660,5
1052541783501260,28
1211591784157770,12
1062841784846960,6
1062841784846960,10
1211261784361700,2
1211311784606480,42
1214421783794510,3
1213851784795040,3
1250361784067000,118
1250361784067000,121
1236111784827880,4
1211381784456180,20
1062841784835060,2
1236161784409090,2
1206561783589900,3
1065911783623710,130
1065911783623710,135
1245861784439850,2
1066461783391280,9
1211281784589360,12
1211281784589360,17
1250371783101550,2
1066431784475760,3
1066121784771700,3
1065641784300750,98
1062841784741090,3
1065911783154940,20
1250401784378620,2
1062851783169330,9
1214421783813480,78
1052671784811920,59
1052651784842650,4
1211381783360930,81
1214371783089590,2
1236121784399350,12
1236131784367680,174
1236131784367680,176
1066451784361540,7
1214161783549580,25
1236121783963340,3
1211381783318290,93
1211381783318290,103
1065681784651550,2
1213951783642920,85
1214311782940460,76
1211591784630190,102
1211591784630190,104
1214371784607680,414
1214371784607680,417
