trip_id,frame_idx,es_tp,dist_vs_frame_anterior,dist_vs_memoria_conductor_vigente,prob_fisica,velocidad,empty_cabin,persistencia_nueva_identidad,vuelve_al_conductor_anterior_10f,coherencia_candidatos_nuevos
1214311782940460,68,True,1.014,0.9999221990663378,1.0,8.0,False,82,False,0.20114208846418694
1065921784239810,95,True,1.004,0.8950688642691891,1.0,70.0,False,1,True,
1211381783441950,71,True,1.0447,0.9756781222764336,0.867,12.0,False,29,False,0.3310652445127837
1066271784354910,9,True,1.0347,0.898337215851217,1.0,26.0,False,5,False,0.19603420564589602
1211261783900430,77,True,1.0041,0.9247006552128396,0.77,26.0,False,2,True,0.26260697252937026
1214371782965660,44,True,1.0605,0.9849332268427674,0.9999,83.0,False,27,False,0.14862089219893546
1052671784564040,49,False,1.0243,0.40003651020254904,0.8484,18.0,False,39,True,0.43830662695483813
1214451784823660,4,False,1.0167,1.0167206349220075,1.0,7.0,False,61,False,0.5011743615219592
1065681783983030,9,False,1.0447,1.0281627571806518,0.8822,10.0,False,1,True,
1211381784456180,85,False,1.0077,0.7950133776919361,0.8048,18.0,False,2,True,0.4388957170707801
1065681784067470,22,False,1.0346,0.9797505506128261,0.7392,25.0,False,1,True,
1211501784603590,22,False,1.0079,1.0079355974850421,0.1723,65.0,False,12,False,0.1876117223752416
1214431784236220,154,False,1.0237,1.0040885622676425,0.1267,71.0,False,1,True,
1065681783627480,11,False,1.0312,1.031207968146539,0.333,53.0,False,23,False,0.38691646837386356
1214441784570190,90,False,1.0124,1.0123997865894712,0.5724,30.0,False,41,False,0.723007955622581
1214441784340640,2,False,1.0183,0.9006025348289896,1.0,14.0,False,5,True,0.5151248109493777
1214471784142110,1,False,1.0617,1.0616585386659874,0.999,7.0,False,1,True,
1211401784354400,45,False,1.0046,0.9270880099145259,0.1887,63.0,False,14,False,0.4692375874549876
1211381783441950,60,False,1.0449,0.18849249860242656,0.4355,46.41999816894531,False,10,True,0.22187885127808984
1214061784153080,95,False,1.0105,1.0012928449725442,0.7523,28.0,False,1,True,
1211321784814760,39,False,1.0026,0.9287423390137751,0.333,53.0,False,1,True,
1214431784236220,193,False,1.0004,0.9775947462281155,1.0,27.0,False,2,False,0.45899099437970947
1236151783205810,6,False,1.0127,0.9266608314425211,0.8748,13.0,False,13,False,0.2700962645983258
1213961783038160,33,False,1.0213,1.0213199978217102,0.4619,39.0,False,41,False,0.236325355809526
1214371784744030,131,False,1.018,0.944532211421596,0.3118,50.0,False,1,True,
1214421783605260,2,False,1.0149,1.0149423280889753,1.0,13.0,False,40,False,0.6509082625479568
1214291784061220,75,False,1.021,1.008960334227132,0.1866,62.0,False,19,False,0.7666620202069998
1213951784827640,93,False,1.0446,0.9745046924623635,1.0,61.0,False,69,False,0.2959056198006494
1214371784744030,140,False,1.0079,0.9612524537449874,0.6257,43.0,False,8,True,0.21758766564311463
1213981783232740,296,False,1.005,0.9089785785956349,0.9985,15.0,False,1,True,
1214171782887840,104,False,1.0274,1.0222047533205816,0.8686,13.0,False,4,False,0.5309878105560262
1062841784679940,7,False,1.0078,0.7471543160700682,0.6608,28.0,False,1,True,
1214421783794510,9,False,1.0058,0.8942794859982135,0.3486,54.0,False,28,False,0.6150853001669073
1214431784819670,3,False,1.0073,1.0073301573895033,0.455,41.0,False,61,False,0.27908830065446727
1214431784058300,176,False,1.0037,0.9997416801147493,0.8393,18.0,False,1,True,
1213981783232740,143,False,1.0009,0.9150950609317654,0.1207,72.0,False,1,True,
1214371784607680,6,False,1.031,1.0166552859611706,0.8113,18.0,False,1,True,
1214441784513800,3,False,1.0024,0.8831836470436109,0.8004,27.0,False,1,True,
1052511784351490,30,False,1.0182,1.0182183337674617,0.7228,27.0,False,19,False,0.0663985578163897
1214351784668400,75,False,1.0013,0.9366353299472406,1.0,27.0,False,2,True,0.164338231226679
1052511784642450,55,False,1.0717,0.988116046341216,1.0,57.0,False,1,True,
1066131784792040,7,False,1.0571,1.0636183136481243,0.235,67.0,False,1,True,
1250311784310000,48,False,1.0013,0.9503323895715156,0.1041,73.0,False,1,True,
1052511784310130,73,False,1.0148,0.9336037544273295,0.8778,8.0,False,13,False,0.34960068241853515
1250401784035760,61,False,1.0211,1.0152746064725329,0.9771,12.0,False,30,False,0.6549574133464082
1214181782956490,1,False,1.0274,1.0273508200035941,0.8686,13.0,False,15,False,0.5309878105560262
1214431783981130,189,False,1.0007,0.9774908914439262,0.8237,21.0,False,1,True,
1214431784143220,124,False,1.0295,1.0006928157855144,0.569,44.0,False,19,False,0.39926944455537416
1062841784578650,29,False,1.0035,0.7194086917479182,1.0,32.0,False,1,True,
1214191783362320,47,False,1.0107,0.9183079626078351,1.0,41.0,False,1,True,
1218891784269930,138,False,1.0029,1.0028966962169639,0.3582,54.0,False,36,False,0.31050217118114426
1245861784738170,75,False,1.0135,0.5596349666568021,1.0,20.0,False,1,True,0.19660491775209132
1214451784823660,65,False,1.0147,1.0168201060519495,0.6971,35.0,False,1,True,
1065641784300750,100,False,1.0298,1.0098994335785445,1.0,17.0,False,1,True,
1214291784167300,46,False,1.0122,0.49842581414423526,0.67,33.0,False,8,True,0.7320232696408301
1250311784310000,23,False,1.0462,1.0462423876384024,0.431,45.0,False,13,False,0.5511368453410935
1214081783058090,23,False,1.0025,0.9646116908717549,0.4619,37.0,False,1,True,
1214371784744030,16,False,1.0013,0.9042732628765274,0.3973,51.0,False,1,True,
1211311784504890,33,False,1.0216,0.9429564265092694,0.6792,27.0,False,4,True,0.7390933649287562
1214451784756270,43,False,1.0758,0.8498504443289262,0.8702,18.0,False,1,False,
1214351784668400,77,False,1.0025,0.9539989485881228,1.0,47.0,False,23,False,0.5204696437655407
1052511784310130,11,False,1.0158,0.9903012853099407,1.0,12.0,False,1,True,
1218881784528490,71,False,1.0179,1.017913082326404,0.7675,26.0,False,10,False,0.2489761716877885
1211381783318290,28,False,1.0013,0.9753367439799179,0.4174,46.0,False,1,True,
1214471784053870,194,False,1.0396,1.0210132354018444,0.7144,28.0,False,1,True,
1250401784233680,24,False,1.0051,0.9751714021650022,0.4723,52.0,False,1,True,
1065911783154940,21,False,1.0153,0.8458726037045902,1.0,29.0,False,14,False,0.6638188846912031
1052671784564040,48,False,1.035,0.6603861296246842,0.8355,20.0,False,40,True,0.8192897613784643
1214451784823660,3,False,1.0295,0.9985834247543328,1.0,7.0,False,1,True,
1211501784875710,89,False,1.0064,0.7654464690380027,1.0,16.0,False,1,True,
1052621784230400,77,False,1.0257,0.9625262972573543,0.5588,48.0,False,19,False,0.6153297984678096
1214371784607680,236,False,1.0738,0.9852352840318345,0.1552,67.0,False,21,False,0.21521036830201204
1214351783314390,14,False,1.0516,1.0516399744357559,0.8155,22.0,False,60,False,0.4774040341983568
1098641783894480,33,False,1.0133,0.3434932585697801,0.5588,41.0,False,15,True,0.6735448825120606
1214431784058300,91,False,1.008,0.9618575011054844,1.0,52.61000061035156,False,80,False,0.07048757092742482
1052561782897070,6,False,1.0155,1.0042787095060925,0.629,36.0,False,1,True,
1214361784574850,197,False,1.0443,0.9959458005285345,0.7379,21.3700008392334,False,1,True,
1214291783993100,110,False,1.0336,0.8289269115189033,0.4352,49.0,False,1,True,
1236111783013900,71,False,1.0149,0.9171199023444854,0.6761,38.0,False,6,True,0.7886851632808661
1214451784756270,11,False,1.0575,1.0575035979152516,0.394,50.0,False,17,False,0.1729653976602363
1065681783983030,10,False,1.0589,1.0182488563911058,1.0,32.0,False,9,True,0.28257474753281725
1245881784068120,55,False,1.0447,1.0447067543650035,0.6822,36.0,False,3,False,0.4383576139670898
1250371783101550,46,False,1.0045,0.9228584039996889,0.667,36.0,False,33,False,0.7226162224617946
1214411783609400,130,False,1.0347,0.9896638476181032,0.6608,33.0,False,17,False,0.15320091000249436
1052621784230400,143,False,1.0155,0.9476693826751703,0.1054,74.0,False,2,True,0.3337050916080746
