trip_id,alert_frame
717021775054869,51
717021775054869,52
717021775054869,57
717021775054869,71
717021775054869,72
717021775054869,86
717151776919573,210
717151776919573,288
1808501776470050,103
1790311775053899,123
1790311775053899,124
1790311775053899,149
1790311775053899,150
1790311775053899,200
716151775604826,94
716151775604826,95
1593491776481385,42
1661531776317546,67
1648921775061112,81
1648921775061112,82
1866921776353433,83
1264291776430246,40
1264291776430246,96
1264291776430246,97
1849491776348347,201
1661621776335075,6
1661621776335075,22
1278961775094027,10
1866731775035702,50
1866731775035702,111
1866531776291130,21
1648911775308093,61
1866541775071553,47
1866541775071553,139
716671775240518,37
716671775240518,43
716671775240518,44
1866621776423250,149
1791321775188320,45
1791321775188320,46
1243861776478564,13
1866611775060331,1
1833701776322922,178
1867421775069568,69
1790381775157640,8
1264291775330721,10
1661531775082934,41
715861775157695,40
715861775157695,41
1480121775491525,28
1480121775491525,29
1821101775133165,54
1618671775021611,55
1661491776381494,74
1866731775097484,9
716561775458958,57
1808801775184559,46
1661491776314048,5
712571776934598,34
712571776934598,35
1808471775593206,25
1808471775593206,26
1866501776290564,13
1866681775287047,3
1791901776290575,2
1790311776312100,31
1790311776312100,294
1480061776636715,80
1866731775062832,53
1592541775299388,82
1791901776354145,147
1790381775115128,43
1790381775115128,87
1821231776553871,83
1264341775399858,94
1264341775399858,95
1821231775089655,24
1507111775235100,4
711141775096868,24
711141775096868,25
1278961775037478,23
1278961775037478,24
716761775049801,7
716761775049801,45
716761775049801,90
1214361775471743,100
1649011775077517,93
1649011775077517,94
1720931775239314,133
1509271776365794,3
1790511776560356,41
1214451776412924,120
1804591775055111,6
1804591775055111,14
1791681776289076,7
1867331776398653,135
712521775197524,22
1480121776414071,170
1507111775186314,43
1593491775098280,72
1593491775098280,73
1867461776487856,267
1990551775415756,70
1990551775415756,71
1243861775525324,205
1790541775162843,110
1790541775162843,111
1808771775153637,59
1256191776519659,31
1250351776493066,5
1593491775057473,7
1479961775164998,27
1790541775095373,2
1790541775095373,3
1866471775409751,20
712571775055448,101
1480061775253090,1
1791681775136380,130
1829581775081090,45
1526701775380109,15
1833821775007413,82
1790391776108220,59
717151776876232,72
1480121776350966,57
1480121776350966,300
1888091775110927,260
1867461775421243,29
1867461775421243,73
1790381776709438,42
1593491776417636,50
1593491776417636,114
1264091775113066,70
1661531776393114,26
1821171775078308,36
1821171775078308,37
1264091775090606,111
711681775065007,76
1582231775575988,27
1582201775114208,37
1582201775114208,38
