trip_id,gt_archivo,gt_timestamp,gt_prev_driver,gt_driver,decision_sistema,matched
1808471775015102,180847_1775062003000_4.jpeg,2026-04-01 16:46:43,Identity_5,Identity_1,POSIBLE_CAMBIO,True
1808471776608491,180847_1776616029000_4.jpeg,2026-04-19 16:27:09,Identity_4,Identity_5,POSIBLE_CAMBIO,True
1808601776349812,180860_1776355173000_4.jpeg,2026-04-16 15:59:33,Identity_3,Identity_2,POSIBLE_CAMBIO,True
1808721776629184,180872_1776653254000_4.jpeg,2026-04-20 02:47:34,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1808751776300482,180875_1776322129000_4.jpeg,2026-04-16 06:48:49,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1808751776748628,180875_1776769986000_4.jpeg,2026-04-21 11:13:06,Identity_2,Identity_4,POSIBLE_CAMBIO,True
1808751776780443,180875_1776788226000_4.jpeg,2026-04-21 16:17:06,Identity_1,Identity_3,POSIBLE_CAMBIO,True
1808751776932669,180875_1776948886000_4.jpeg,2026-04-23 12:54:46,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1808771775234293,180877_1775254521000_4.jpeg,2026-04-03 22:15:21,Identity_1,Identity_4,POSIBLE_CAMBIO,True
1808801775053266,180880_1775060524000_4.jpeg,2026-04-01 16:22:04,Identity_1,Identity_2,POSIBLE_CAMBIO,True
1808801775077476,180880_1775097959000_4.jpeg,2026-04-02 02:45:59,Identity_1,Identity_4,POSIBLE_CAMBIO,True
1808801775184559,180880_1775218448000_4.jpeg,2026-04-03 12:14:08,Identity_1,Identity_5,POSIBLE_CAMBIO,True
1808801776319729,180880_1776343891000_4.jpeg,2026-04-16 12:51:31,Identity_1,Identity_3,POSIBLE_CAMBIO,True
1808801776319729,180880_1776349471000_4.jpeg,2026-04-16 14:24:31,Identity_3,Identity_1,POSIBLE_CAMBIO,True
1808801776356704,180880_1776375879000_4.jpeg,2026-04-16 21:44:39,Identity_2,Identity_3,POSIBLE_CAMBIO,True
