version,trip_id,actual_events,predicted_events,tp_events,fp_events,fn_events,tp_events_tol1,fp_events_tol1,fn_events_tol1,alert_rows,actual_change_rows
v1_main,1808781776313205,11,1,0,1,11,0,1,11,1,11
v1_main,1592761776571334,10,6,0,6,10,1,5,9,7,10
v1_main,1867051776943134,10,5,0,5,10,1,4,9,7,10
v1_main,1829661775011192,10,5,0,5,10,0,5,10,5,10
v1_main,1702061776423132,14,9,4,5,10,4,5,10,15,14
v1_main,1808471775112521,10,3,0,3,10,0,3,10,4,10
v1_main,1648921775061112,12,5,2,3,10,4,1,8,10,12
v1_main,1866661776292944,10,3,0,3,10,0,3,10,4,10
v1_main,1866491775073311,10,2,0,2,10,0,2,10,3,10
v1_main,1716901776311831,10,2,0,2,10,0,2,10,3,10
v1_main,1833701776385283,10,1,0,1,10,0,1,10,1,10
v1_main,1792391776441788,11,2,1,1,10,1,1,10,2,11
v1_main,1236121776574767,10,1,0,1,10,0,1,10,1,10
v1_main,1791721775002233,10,0,0,0,10,0,0,10,0,10
v1_main,1867051776959604,10,0,0,0,10,0,0,10,0,10
v1_main,716151776523235,10,7,1,6,9,1,6,9,9,10
v1_main,1808781775328672,10,6,1,5,9,2,4,8,8,10
v1_main,1236121775057117,10,5,1,4,9,1,4,9,7,10
v1_main,1270471775144100,10,5,1,4,9,1,4,9,6,10
v1_main,1214161776646557,10,4,1,3,9,1,3,9,5,10
v1_main,1480211775517727,9,2,0,2,9,0,2,9,3,9
v1_main,1990551775238429,9,2,0,2,9,0,2,9,4,9
v1_main,1829701775063483,9,1,0,1,9,1,0,8,1,9
v1_main,1852761775245934,10,2,1,1,9,1,1,9,3,10
v1_main,1829681776926859,10,2,1,1,9,1,1,9,2,10
v1_main,1866651776294978,10,1,1,0,9,1,0,9,1,10
v1_main,1509271775185680,10,1,1,0,9,1,0,9,1,10
v1_main,1791901776290575,8,11,0,11,8,1,10,7,11,8
v1_main,1867151775308350,8,9,0,9,8,3,6,5,14,8
v1_main,1867511776524656,8,8,0,8,8,0,8,8,10,8
v1_main,1821171775138762,9,9,1,8,8,1,8,8,15,9
v1_main,712641776469659,8,6,0,6,8,1,5,7,6,8
v1_main,1790541775095373,8,6,0,6,8,0,6,8,10,8
v1_main,1264401775046523,11,8,3,5,8,3,5,8,14,11
v1_main,717021775054869,10,7,2,5,8,2,5,8,10,10
v1_main,1627131776431187,8,5,0,5,8,0,5,8,7,8
v1_main,711601775342768,8,4,0,4,8,1,3,7,5,8
v1_main,1213861775217469,10,6,2,4,8,2,4,8,9,10
v1_main,1887721775047847,9,5,1,4,8,1,4,8,8,9
v1_main,1236131775007199,8,4,0,4,8,2,2,6,5,8
v1_main,716131776384657,8,4,0,4,8,0,4,8,4,8
v1_main,1264401776323964,9,5,1,4,8,1,4,8,5,9
v1_main,1792431776321074,8,4,0,4,8,0,4,8,5,8
v1_main,1648871776901089,8,4,0,4,8,0,4,8,4,8
v1_main,1066141775086247,8,3,0,3,8,1,2,7,5,8
v1_main,1808601776349812,9,4,1,3,8,2,2,7,5,9
v1_main,1866881776315349,8,3,0,3,8,0,3,8,3,8
v1_main,716491776904420,8,2,0,2,8,0,2,8,2,8
v1_main,711331775052409,8,2,0,2,8,1,1,7,3,8
v1_main,1214341776300565,8,2,0,2,8,0,2,8,3,8
v1_main,1848431776285949,8,2,0,2,8,0,2,8,2,8
v1_main,1791341775045702,8,1,0,1,8,0,1,8,1,8
v1_main,1867541776296278,8,1,0,1,8,0,1,8,1,8
v1_main,1569091776668527,8,1,0,1,8,0,1,8,1,8
v1_main,1480061776493298,9,2,1,1,8,1,1,8,2,9
v1_main,1716901775074324,9,1,1,0,8,1,0,8,2,9
v1_main,1486491776919925,8,0,0,0,8,0,0,8,0,8
v1_main,1808931776299317,8,0,0,0,8,0,0,8,0,8
v1_main,1792391776381419,8,0,0,0,8,0,0,8,0,8
v1_main,716561775458958,11,14,4,10,7,5,9,6,20,11
v1_main,1592541775299388,9,11,2,9,7,2,9,7,16,9
v1_main,1867461776487856,8,7,1,6,7,2,5,6,7,8
v1_main,1661441775121939,10,8,3,5,7,3,5,7,12,10
v1_main,712521775220724,8,5,1,4,7,3,2,5,11,8
v1_main,1569091776328406,7,4,0,4,7,0,4,7,5,7
v1_main,1867421775069568,8,4,1,3,7,1,3,7,7,8
v1_main,1791841775411744,8,4,1,3,7,2,2,6,5,8
v1_main,1866881775144918,7,3,0,3,7,0,3,7,3,7
